Query	Entry	Entry_Name	Protein_Name	Gene_Names	Organism	GO_IDs	GO_Terms	GO_Evidence	Status
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2NHT6	A0A1D2NHT6	A0A1D2NHT6_ORCCI	Chromobox protein 5	NA	Orchesella cincta	GO:0000792;GO:0005634	C:heterochromatin;C:nucleus	IEA:UniProtKB-ARBA;IEA:UniProtKB-SubCell	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2M307	A0A1D2M307	A0A1D2M307_ORCCI	F-box domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2ML21	A0A1D2ML21	A0A1D2ML21_ORCCI	Juvenile hormone acid O-methyltransferase	NA	Orchesella cincta	GO:0008168;GO:0032259	F:methyltransferase activity;P:methylation	IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2MAK1	A0A1D2MAK1	A0A1D2MAK1_ORCCI	non-specific serine/threonine protein kinase	NA	Orchesella cincta	GO:1990604;GO:0005524;GO:0004674;GO:0004521;GO:0051082;GO:0070059;GO:0036498;GO:0006397	C:IRE1-TRAF2-ASK1 complex;F:ATP binding;F:protein serine/threonine kinase activity;F:RNA endonuclease activity;F:unfolded protein binding;P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;P:IRE1-mediated unfolded protein response;P:mRNA processing	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M8J9	A0A1D2M8J9	A0A1D2M8J9_ORCCI	Putative E3 ubiquitin-protein ligase SINA-like 6	NA	Orchesella cincta	GO:0005737;GO:0061630;GO:0008270	C:cytoplasm;F:ubiquitin protein ligase activity;F:zinc ion binding	IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2MAK1	A0A1D2MAK1	A0A1D2MAK1_ORCCI	non-specific serine/threonine protein kinase	NA	Orchesella cincta	GO:1990604;GO:0005524;GO:0004674;GO:0004521;GO:0051082;GO:0070059;GO:0036498;GO:0006397	C:IRE1-TRAF2-ASK1 complex;F:ATP binding;F:protein serine/threonine kinase activity;F:RNA endonuclease activity;F:unfolded protein binding;P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;P:IRE1-mediated unfolded protein response;P:mRNA processing	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2ML21	A0A1D2ML21	A0A1D2ML21_ORCCI	Juvenile hormone acid O-methyltransferase	NA	Orchesella cincta	GO:0008168;GO:0032259	F:methyltransferase activity;P:methylation	IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MFW8	A0A1D2MFW8	A0A1D2MFW8_ORCCI	TD and POZ domain-containing protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MAK1	A0A1D2MAK1	A0A1D2MAK1_ORCCI	non-specific serine/threonine protein kinase	NA	Orchesella cincta	GO:1990604;GO:0005524;GO:0004674;GO:0004521;GO:0051082;GO:0070059;GO:0036498;GO:0006397	C:IRE1-TRAF2-ASK1 complex;F:ATP binding;F:protein serine/threonine kinase activity;F:RNA endonuclease activity;F:unfolded protein binding;P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;P:IRE1-mediated unfolded protein response;P:mRNA processing	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2ML21	A0A1D2ML21	A0A1D2ML21_ORCCI	Juvenile hormone acid O-methyltransferase	NA	Orchesella cincta	GO:0008168;GO:0032259	F:methyltransferase activity;P:methylation	IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2NFG0	A0A1D2NFG0	A0A1D2NFG0_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MDR9	A0A1D2MDR9	A0A1D2MDR9_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0008270	F:zinc ion binding	IEA:UniProtKB-KW	Success
A0A1D2MBI7	A0A1D2MBI7	A0A1D2MBI7_ORCCI	Transcriptional protein SWT1	NA	Orchesella cincta	GO:0005634	C:nucleus	IEA:TreeGrafter	Success
A0A1D2NHT6	A0A1D2NHT6	A0A1D2NHT6_ORCCI	Chromobox protein 5	NA	Orchesella cincta	GO:0000792;GO:0005634	C:heterochromatin;C:nucleus	IEA:UniProtKB-ARBA;IEA:UniProtKB-SubCell	Success
A0A1D2MHK5	A0A1D2MHK5	A0A1D2MHK5_ORCCI	Putative RNA-directed DNA polymerase from transposon BS	NA	Orchesella cincta	GO:0003964	F:RNA-directed DNA polymerase activity	IEA:UniProtKB-KW	Success
A0A1D2NHT6	A0A1D2NHT6	A0A1D2NHT6_ORCCI	Chromobox protein 5	NA	Orchesella cincta	GO:0000792;GO:0005634	C:heterochromatin;C:nucleus	IEA:UniProtKB-ARBA;IEA:UniProtKB-SubCell	Success
A0A1D2MPS9	A0A1D2MPS9	A0A1D2MPS9_ORCCI	DNA-directed RNA polymerase subunit	NA	Orchesella cincta	GO:0005739;GO:0005665;GO:0003677;GO:0003899;GO:0046872;GO:0006366	C:mitochondrion;C:RNA polymerase II, core complex;F:DNA binding;F:DNA-directed RNA polymerase activity;F:metal ion binding;P:transcription by RNA polymerase II	IEA:GOC;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-EC;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2M1B3	A0A1D2M1B3	A0A1D2M1B3_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MSN0	A0A1D2MSN0	A0A1D2MSN0_ORCCI	Putative RNA-binding protein EEED8.10	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M4Z0	A0A1D2M4Z0	A0A1D2M4Z0_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0005634;GO:0008270;GO:0010468	C:nucleus;F:zinc ion binding;P:regulation of gene expression	IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:TreeGrafter	Success
A0A1D2M9X0	A0A1D2M9X0	A0A1D2M9X0_ORCCI	Metalloendopeptidase	NA	Orchesella cincta	GO:0004222;GO:0008270;GO:0006508	F:metalloendopeptidase activity;F:zinc ion binding;P:proteolysis	IEA:UniProtKB-UniRule;IEA:UniProtKB-UniRule;IEA:UniProtKB-KW	Success
A0A1D2MD79	A0A1D2MD79	A0A1D2MD79_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0005634;GO:0001228;GO:0000978;GO:0008270	C:nucleus;F:DNA-binding transcription activator activity, RNA polymerase II-specific;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;F:zinc ion binding	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2MJ33	A0A1D2MJ33	A0A1D2MJ33_ORCCI	MARVEL domain-containing protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2NMH8	A0A1D2NMH8	A0A1D2NMH8_ORCCI	Folylpolyglutamate synthase	NA	Orchesella cincta	GO:0005829;GO:0005743;GO:0005759;GO:0005524;GO:0046872;GO:0004326;GO:0006730	C:cytosol;C:mitochondrial inner membrane;C:mitochondrial matrix;F:ATP binding;F:metal ion binding;F:tetrahydrofolylpolyglutamate synthase activity;P:one-carbon metabolic process	IEA:TreeGrafter;IEA:UniProtKB-SubCell;IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:UniProtKB-EC;IEA:UniProtKB-KW	Success
A0A1D2MAL6	A0A1D2MAL6	A0A1D2MAL6_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0016020;GO:0020037;GO:0005506;GO:0004508;GO:0042446;GO:0042448	C:membrane;F:heme binding;F:iron ion binding;F:steroid 17-alpha-monooxygenase activity;P:hormone biosynthetic process;P:progesterone metabolic process	IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MBU6	A0A1D2MBU6	A0A1D2MBU6_ORCCI	Glucose dehydrogenase [FAD, quinone]	NA	Orchesella cincta	GO:0016020;GO:0050660;GO:0016614	C:membrane;F:flavin adenine dinucleotide binding;F:oxidoreductase activity, acting on CH-OH group of donors	IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro	Success
A0A1D2MHA5	A0A1D2MHA5	A0A1D2MHA5_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2NDF5	A0A1D2NDF5	A0A1D2NDF5_ORCCI	Putative vitellogenin receptor	NA	Orchesella cincta	GO:0016324;GO:0005576;GO:0043235;GO:0005509;GO:0008061;GO:0042562;GO:0006898	C:apical plasma membrane;C:extracellular region;C:receptor complex;F:calcium ion binding;F:chitin binding;F:hormone binding;P:receptor-mediated endocytosis	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MB83	A0A1D2MB83	A0A1D2MB83_ORCCI	Low-density lipoprotein receptor-related protein 4	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M9W2	A0A1D2M9W2	A0A1D2M9W2_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MTZ4	A0A1D2MTZ4	A0A1D2MTZ4_ORCCI	BTB and MATH domain-containing protein 42	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M9W2	A0A1D2M9W2	A0A1D2M9W2_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MFA2	A0A1D2MFA2	A0A1D2MFA2_ORCCI	Endonuclease G, mitochondrial	NA	Orchesella cincta	GO:0004519;GO:0046872;GO:0003676	F:endonuclease activity;F:metal ion binding;F:nucleic acid binding	IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2NMY1	A0A1D2NMY1	A0A1D2NMY1_ORCCI	A disintegrin and metalloproteinase with thrombospondin motifs 17	NA	Orchesella cincta	GO:0046872;GO:0004222;GO:0007229;GO:0006509	F:metal ion binding;F:metalloendopeptidase activity;P:integrin-mediated signaling pathway;P:membrane protein ectodomain proteolysis	IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-KW;IEA:TreeGrafter	Success
A0A1D2M5Q3	A0A1D2M5Q3	A0A1D2M5Q3_ORCCI	Acyl-CoA Delta(11) desaturase	NA	Orchesella cincta	GO:0005789;GO:0005506;GO:0004768;GO:0006636	C:endoplasmic reticulum membrane;F:iron ion binding;F:stearoyl-CoA 9-desaturase activity;P:unsaturated fatty acid biosynthetic process	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MB60	A0A1D2MB60	A0A1D2MB60_ORCCI	Glycosyltransferase family 92 protein	NA	Orchesella cincta	GO:0005737;GO:0016020;GO:0016757;GO:0070085	C:cytoplasm;C:membrane;F:glycosyltransferase activity;P:glycosylation	IEA:TreeGrafter;IEA:UniProtKB-SubCell;IEA:UniProtKB-UniRule;IEA:TreeGrafter	Success
A0A1D2MWP6	A0A1D2MWP6	A0A1D2MWP6_ORCCI	Sodium-coupled monocarboxylate transporter 2	NA	Orchesella cincta	GO:0005886;GO:0015293;GO:0006814	C:plasma membrane;F:symporter activity;P:sodium ion transport	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2M1H4	A0A1D2M1H4	A0A1D2M1H4_ORCCI	Protein maternal effect lethal 26	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M1L8	A0A1D2M1L8	A0A1D2M1L8_ORCCI	Heat shock 70 kDa protein	NA	Orchesella cincta	GO:0005524;GO:0140662	F:ATP binding;F:ATP-dependent protein folding chaperone	IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2NDF5	A0A1D2NDF5	A0A1D2NDF5_ORCCI	Putative vitellogenin receptor	NA	Orchesella cincta	GO:0016324;GO:0005576;GO:0043235;GO:0005509;GO:0008061;GO:0042562;GO:0006898	C:apical plasma membrane;C:extracellular region;C:receptor complex;F:calcium ion binding;F:chitin binding;F:hormone binding;P:receptor-mediated endocytosis	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MPE4	A0A1D2MPE4	A0A1D2MPE4_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2N845	A0A1D2N845	A0A1D2N845_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MTZ4	A0A1D2MTZ4	A0A1D2MTZ4_ORCCI	BTB and MATH domain-containing protein 42	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MSW3	A0A1D2MSW3	A0A1D2MSW3_ORCCI	Protein PRY1	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MKC9	A0A1D2MKC9	A0A1D2MKC9_ORCCI	Gastrula zinc finger protein XlCGF48.2	NA	Orchesella cincta	GO:0005634;GO:0000981;GO:0000978;GO:0008270	C:nucleus;F:DNA-binding transcription factor activity, RNA polymerase II-specific;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;F:zinc ion binding	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2M734	A0A1D2M734	A0A1D2M734_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MPE4	A0A1D2MPE4	A0A1D2MPE4_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2M9W2	A0A1D2M9W2	A0A1D2M9W2_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MEI9	A0A1D2MEI9	A0A1D2MEI9_ORCCI	Poly(A) RNA polymerase cid13	NA	Orchesella cincta	GO:0016779;GO:0031123	F:nucleotidyltransferase activity;P:RNA 3'-end processing	IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MEI9	A0A1D2MEI9	A0A1D2MEI9_ORCCI	Poly(A) RNA polymerase cid13	NA	Orchesella cincta	GO:0016779;GO:0031123	F:nucleotidyltransferase activity;P:RNA 3'-end processing	IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MHC9	A0A1D2MHC9	A0A1D2MHC9_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MB75	A0A1D2MB75	A0A1D2MB75_ORCCI	Heat shock 70 kDa protein cognate 4	NA	Orchesella cincta	GO:0005524;GO:0140662	F:ATP binding;F:ATP-dependent protein folding chaperone	IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2NER2	A0A1D2NER2	A0A1D2NER2_ORCCI	UDP-glucuronosyltransferase	NA	Orchesella cincta	GO:0016020;GO:0015020	C:membrane;F:glucuronosyltransferase activity	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC	Success
A0A1D2M4L8	A0A1D2M4L8	A0A1D2M4L8_ORCCI	UDP-glucuronosyltransferase 1-7C	NA	Orchesella cincta	GO:0016020;GO:0008194	C:membrane;F:UDP-glycosyltransferase activity	IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2N1Y0	A0A1D2N1Y0	A0A1D2N1Y0_ORCCI	Fibroblast growth factor receptor	NA	Orchesella cincta	GO:0005886;GO:0043235;GO:0005524;GO:0004568;GO:0004714;GO:0007169;GO:0016998;GO:0006032	C:plasma membrane;C:receptor complex;F:ATP binding;F:chitinase activity;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:cell wall macromolecule catabolic process;P:chitin catabolic process	IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2M0J6	A0A1D2M0J6	A0A1D2M0J6_ORCCI	Transcriptional regulator ADR1	NA	Orchesella cincta	GO:0008270	F:zinc ion binding	IEA:UniProtKB-KW	Success
A0A1D2N0J5	A0A1D2N0J5	A0A1D2N0J5_ORCCI	Alkaline phosphatase	NA	Orchesella cincta	GO:0004035;GO:0046872	F:alkaline phosphatase activity;F:metal ion binding	IEA:UniProtKB-EC;IEA:UniProtKB-KW	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2NHW2	A0A1D2NHW2	A0A1D2NHW2_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2NHW2	A0A1D2NHW2	A0A1D2NHW2_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MSN0	A0A1D2MSN0	A0A1D2MSN0_ORCCI	Putative RNA-binding protein EEED8.10	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2N0C3	A0A1D2N0C3	A0A1D2N0C3_ORCCI	Lovastatin diketide synthase LovF	NA	Orchesella cincta	GO:0004315;GO:0016491;GO:0031177;GO:0006633	F:3-oxoacyl-[acyl-carrier-protein] synthase activity;F:oxidoreductase activity;F:phosphopantetheine binding;P:fatty acid biosynthetic process	IEA:InterPro;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-UniPathway	Success
A0A1D2MAD0	A0A1D2MAD0	A0A1D2MAD0_ORCCI	Cytochrome P450 4c3	NA	Orchesella cincta	GO:0005789;GO:0020037;GO:0005506;GO:0004497;GO:0016705	C:endoplasmic reticulum membrane;F:heme binding;F:iron ion binding;F:monooxygenase activity;F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	IEA:UniProtKB-SubCell;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2M6S6	A0A1D2M6S6	A0A1D2M6S6_ORCCI	Putative transposase-like protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2NHG0	A0A1D2NHG0	A0A1D2NHG0_ORCCI	RanBP-type and C3HC4-type zinc finger-containing protein 1	NA	Orchesella cincta	GO:0071797;GO:0043130;GO:0004842;GO:0008270;GO:0009893;GO:0043161;GO:0097039;GO:0060255	C:LUBAC complex;F:ubiquitin binding;F:ubiquitin-protein transferase activity;F:zinc ion binding;P:positive regulation of metabolic process;P:proteasome-mediated ubiquitin-dependent protein catabolic process;P:protein linear polyubiquitination;P:regulation of macromolecule metabolic process	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-ARBA;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-ARBA	Success
A0A1D2M7P4	A0A1D2M7P4	A0A1D2M7P4_ORCCI	FMRFamide receptor	NA	Orchesella cincta	GO:0016020;GO:0004930	C:membrane;F:G protein-coupled receptor activity	IEA:UniProtKB-SubCell;IEA:InterPro	Success
A0A1D2MCJ1	A0A1D2MCJ1	A0A1D2MCJ1_ORCCI	Pathogenesis-related protein 1C	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MN30	A0A1D2MN30	A0A1D2MN30_ORCCI	Obscurin	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MAT7	A0A1D2MAT7	A0A1D2MAT7_ORCCI	Glucose 1,6-bisphosphate synthase	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MPE4	A0A1D2MPE4	A0A1D2MPE4_ORCCI	BTB/POZ domain-containing protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MHX8	A0A1D2MHX8	A0A1D2MHX8_ORCCI	Protein hedgehog	NA	Orchesella cincta	GO:0005525;GO:0007267;GO:0016540	F:GTP binding;P:cell-cell signaling;P:protein autoprocessing	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
