Query	Entry	Entry_Name	Protein_Name	Gene_Names	Organism	GO_IDs	GO_Terms	GO_Evidence	Status
A0A7K7L4Z1	A0A7K7L4Z1	A0A7K7L4Z1_9AVES	SBNO2 protein	Sbno2_0	Asarcornis scutulata	GO:0005634;GO:0031490;GO:0042393;GO:0071354;GO:0002281;GO:0045892;GO:0030316;GO:0045944;GO:0050727	C:nucleus;F:chromatin DNA binding;F:histone binding;P:cellular response to interleukin-6;P:macrophage activation involved in immune response;P:negative regulation of DNA-templated transcription;P:osteoclast differentiation;P:positive regulation of transcription by RNA polymerase II;P:regulation of inflammatory response	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A914L458	A0A914L458	A0A914L458_MELIC	histone acetyltransferase	NA	Meloidogyne incognita	GO:0000123;GO:0005634;GO:0005667;GO:0031490;GO:0004402;GO:0003713;GO:0008270;GO:0045944	C:histone acetyltransferase complex;C:nucleus;C:transcription regulator complex;F:chromatin DNA binding;F:histone acetyltransferase activity;F:transcription coactivator activity;F:zinc ion binding;P:positive regulation of transcription by RNA polymerase II	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:TreeGrafter	Success
A0A226ENG6	A0A226ENG6	A0A226ENG6_FOLCA	Irregular chiasm C-roughest protein	NA	Folsomia candida	GO:0005911;GO:0005886;GO:0050839;GO:0098609	C:cell-cell junction;C:plasma membrane;F:cell adhesion molecule binding;P:cell-cell adhesion	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A6P4IYA3	A0A6P4IYA3	A0A6P4IYA3_DROKI	S-phase kinase-associated protein 1	LOC108082616	Drosophila kikkawai	GO:0016301;GO:0016567;GO:0006511	F:kinase activity;P:protein ubiquitination;P:ubiquitin-dependent protein catabolic process	IEA:UniProtKB-KW;IEA:UniProtKB-UniPathway;IEA:InterPro	Success
F0YQ71	F0YQ71	F0YQ71_AURAN	Strawberry notch helicase C domain-containing protein	NA	Aureococcus anophagefferens	GO:0005634;GO:0031490;GO:0042393;GO:0006355	C:nucleus;F:chromatin DNA binding;F:histone binding;P:regulation of DNA-templated transcription	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2N8G3	A0A1D2N8G3	A0A1D2N8G3_ORCCI	Serrate RNA effector molecule homolog	NA	Orchesella cincta	GO:0016604;GO:0031053	C:nuclear body;P:primary miRNA processing	IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2N8G3	A0A1D2N8G3	A0A1D2N8G3_ORCCI	Serrate RNA effector molecule homolog	NA	Orchesella cincta	GO:0016604;GO:0031053	C:nuclear body;P:primary miRNA processing	IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A226EJC9	A0A226EJC9	A0A226EJC9_FOLCA	Beta-glucanase	NA	Folsomia candida	GO:0004553;GO:0005975	F:hydrolase activity, hydrolyzing O-glycosyl compounds;P:carbohydrate metabolic process	IEA:InterPro;IEA:InterPro	Success
A0A1D2MHX8	A0A1D2MHX8	A0A1D2MHX8_ORCCI	Protein hedgehog	NA	Orchesella cincta	GO:0005525;GO:0007267;GO:0016540	F:GTP binding;P:cell-cell signaling;P:protein autoprocessing	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2MHX8	A0A1D2MHX8	A0A1D2MHX8_ORCCI	Protein hedgehog	NA	Orchesella cincta	GO:0005525;GO:0007267;GO:0016540	F:GTP binding;P:cell-cell signaling;P:protein autoprocessing	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2MHX8	A0A1D2MHX8	A0A1D2MHX8_ORCCI	Protein hedgehog	NA	Orchesella cincta	GO:0005525;GO:0007267;GO:0016540	F:GTP binding;P:cell-cell signaling;P:protein autoprocessing	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A226ECY5	A0A226ECY5	A0A226ECY5_FOLCA	Uncharacterized protein	NA	Folsomia candida	NA	NA	NA	Success
A0A4Y2RRB4	A0A4Y2RRB4	A0A4Y2RRB4_ARAVE	RNA-directed DNA polymerase	TY3B-I_353	Araneus ventricosus	GO:0042575;GO:0004519;GO:0003676;GO:0003964;GO:0015074	C:DNA polymerase complex;F:endonuclease activity;F:nucleic acid binding;F:RNA-directed DNA polymerase activity;P:DNA integration	IEA:UniProtKB-ARBA;IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro	Success
A0AAD8AJ74	A0AAD8AJ74	A0AAD8AJ74_DIPPU	Chitin-binding type-2 domain-containing protein	NA	Diploptera punctata	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A6P7FEK2	A0A6P7FEK2	A0A6P7FEK2_DIAVI	Uncharacterized protein LOC114329324 isoform X1	LOC114329324	Diabrotica virgifera virgifera	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A7R9GJV1	A0A7R9GJV1	A0A7R9GJV1_9CRUS	Chitin-binding type-2 domain-containing protein	NA	Notodromas monacha	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A7R9GJV1	A0A7R9GJV1	A0A7R9GJV1_9CRUS	Chitin-binding type-2 domain-containing protein	NA	Notodromas monacha	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A7R9GJV1	A0A7R9GJV1	A0A7R9GJV1_9CRUS	Chitin-binding type-2 domain-containing protein	NA	Notodromas monacha	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0AA38HYV3	A0AA38HYV3	A0AA38HYV3_9CUCU	Chitin-binding type-2 domain-containing protein	NA	Zophobas morio	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0AA38MKU3	A0AA38MKU3	A0AA38MKU3_9CUCU	Chitin-binding type-2 domain-containing protein	NA	Zophobas morio	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A1D2N046	A0A1D2N046	A0A1D2N046_ORCCI	Bacillopeptidase F	NA	Orchesella cincta	GO:0004252;GO:0006508	F:serine-type endopeptidase activity;P:proteolysis	IEA:UniProtKB-UniRule;IEA:UniProtKB-KW	Success
A0A1D2MWL2	A0A1D2MWL2	A0A1D2MWL2_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MWL2	A0A1D2MWL2	A0A1D2MWL2_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MX15	A0A1D2MX15	A0A1D2MX15_ORCCI	Aminotransferase class V domain-containing protein	NA	Orchesella cincta	GO:0016740	F:transferase activity	IEA:UniProtKB-ARBA	Success
A0A226E481	A0A226E481	A0A226E481_FOLCA	Neuronal migration protein doublecortin	NA	Folsomia candida	GO:0005874;GO:0005815;GO:0035556	C:microtubule;C:microtubule organizing center;P:intracellular signal transduction	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2NBF7	A0A1D2NBF7	A0A1D2NBF7_ORCCI	Bacillopeptidase F	NA	Orchesella cincta	GO:0004252;GO:0006508	F:serine-type endopeptidase activity;P:proteolysis	IEA:UniProtKB-UniRule;IEA:UniProtKB-KW	Success
A0A226EB82	A0A226EB82	A0A226EB82_FOLCA	Transposase domain-containing protein	NA	Folsomia candida	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A226CYX3	A0A226CYX3	A0A226CYX3_FOLCA	Uncharacterized protein	NA	Folsomia candida	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A9P0DZP2	A0A9P0DZP2	A0A9P0DZP2_DIABA	Chitin-binding type-2 domain-containing protein	NA	Diabrotica balteata	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A653DRZ2	A0A653DRZ2	A0A653DRZ2_CALMS	Chitin-binding type-2 domain-containing protein	NA	Callosobruchus maculatus	GO:0005576;GO:0008061	C:extracellular region;F:chitin binding	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A8S4N659	A0A8S4N659	A0A8S4N659_OWEFU	C2H2-type domain-containing protein	NA	Owenia fusiformis	GO:0005634;GO:0001228;GO:0000978;GO:0008270	C:nucleus;F:DNA-binding transcription activator activity, RNA polymerase II-specific;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;F:zinc ion binding	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
U4U9Z4	U4U9Z4	U4U9Z4_DENPD	C2H2-type domain-containing protein	NA	Dendroctonus ponderosae	GO:0008170;GO:0008276;GO:0008757;GO:0008270	F:N-methyltransferase activity;F:protein methyltransferase activity;F:S-adenosylmethionine-dependent methyltransferase activity;F:zinc ion binding	IEA:UniProtKB-ARBA;IEA:UniProtKB-ARBA;IEA:UniProtKB-ARBA;IEA:UniProtKB-KW	Success
A0A1D2MUQ1	A0A1D2MUQ1	A0A1D2MUQ1_ORCCI	Vascular endothelial growth factor receptor 3	NA	Orchesella cincta	GO:0005576;GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169;GO:0050832;GO:0031640	C:extracellular region;C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:defense response to fungus;P:killing of cells of another organism	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A4Y2TL71	A0A4Y2TL71	A0A4Y2TL71_ARAVE	Integrase catalytic domain-containing protein	NA	Araneus ventricosus	GO:0042575;GO:0003676;GO:0071897;GO:0015074	C:DNA polymerase complex;F:nucleic acid binding;P:DNA biosynthetic process;P:DNA integration	IEA:UniProtKB-ARBA;IEA:InterPro;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A151ZD76	A0A151ZD76	A0A151ZD76_TIELA	3'-5' exonuclease	NA	Tieghemostelium lacteum	GO:0000176;GO:0005730;GO:0000175;GO:0000166;GO:0003727;GO:0000467;GO:0071044;GO:0071040;GO:0071039;GO:0071035;GO:0071036;GO:0071037;GO:0071051;GO:0071038	C:nuclear exosome (RNase complex);C:nucleolus;F:3'-5'-RNA exonuclease activity;F:nucleotide binding;F:single-stranded RNA binding;P:exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);P:histone mRNA catabolic process;P:nuclear polyadenylation-dependent antisense transcript catabolic process;P:nuclear polyadenylation-dependent CUT catabolic process;P:nuclear polyadenylation-dependent rRNA catabolic process;P:nuclear polyadenylation-dependent snoRNA catabolic process;P:nuclear polyadenylation-dependent snRNA catabolic process;P:poly(A)-dependent snoRNA 3'-end processing;P:TRAMP-dependent tRNA surveillance pathway	IEA:InterPro;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MG19	A0A1D2MG19	A0A1D2MG19_ORCCI	Matrilysin	NA	Orchesella cincta	GO:0031012;GO:0016020;GO:0004222;GO:0008270;GO:0030574;GO:0030198;GO:0006508	C:extracellular matrix;C:membrane;F:metalloendopeptidase activity;F:zinc ion binding;P:collagen catabolic process;P:extracellular matrix organization;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A1D2M696	A0A1D2M696	A0A1D2M696_ORCCI	Protein maternal effect lethal 26	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M774	A0A1D2M774	A0A1D2M774_ORCCI	F-box domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A814PBI4	A0A814PBI4	A0A814PBI4_ADIRI	Helicase ATP-binding domain-containing protein	NA	Adineta ricciae	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A814PBI4	A0A814PBI4	A0A814PBI4_ADIRI	Helicase ATP-binding domain-containing protein	NA	Adineta ricciae	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A914CG84	A0A914CG84	A0A914CG84_9BILA	Helicase ATP-binding domain-containing protein	NA	Acrobeloides nanus	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0AA47NQX3	A0AA47NQX3	A0AA47NQX3_MERPO	Interferon-inducible GTPase 5	IRGC_5	Merluccius polli	GO:0016020;GO:0005525;GO:0016787	C:membrane;F:GTP binding;F:hydrolase activity	IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2NKR3	A0A1D2NKR3	A0A1D2NKR3_ORCCI	Odorant receptor	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A1D2MSN0	A0A1D2MSN0	A0A1D2MSN0_ORCCI	Putative RNA-binding protein EEED8.10	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M8J5	A0A1D2M8J5	A0A1D2M8J5_ORCCI	C-type lectin domain family 4 member F	NA	Orchesella cincta	GO:0030246	F:carbohydrate binding	IEA:UniProtKB-KW	Success
A0A226DHP3	A0A226DHP3	A0A226DHP3_FOLCA	Zinc finger MYM-type protein 1	NA	Folsomia candida	GO:0046983	F:protein dimerization activity	IEA:InterPro	Success
A0A914CG84	A0A914CG84	A0A914CG84_9BILA	Helicase ATP-binding domain-containing protein	NA	Acrobeloides nanus	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A914CG84	A0A914CG84	A0A914CG84_9BILA	Helicase ATP-binding domain-containing protein	NA	Acrobeloides nanus	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2M6H5	A0A1D2M6H5	A0A1D2M6H5_ORCCI	RNA-directed DNA polymerase	NA	Orchesella cincta	GO:0042575;GO:0016020;GO:0003824;GO:0003676;GO:0071897;GO:0015074	C:DNA polymerase complex;C:membrane;F:catalytic activity;F:nucleic acid binding;P:DNA biosynthetic process;P:DNA integration	IEA:UniProtKB-ARBA;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A1D2MDR9	A0A1D2MDR9	A0A1D2MDR9_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0008270	F:zinc ion binding	IEA:UniProtKB-KW	Success
A0A226EW07	A0A226EW07	A0A226EW07_FOLCA	Putative ATP-dependent helicase IRC3	NA	Folsomia candida	GO:0005829;GO:0005524;GO:0016887;GO:0003677;GO:0004386	C:cytosol;F:ATP binding;F:ATP hydrolysis activity;F:DNA binding;F:helicase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-KW	Success
A0A814WWK5	A0A814WWK5	A0A814WWK5_9BILA	Helicase ATP-binding domain-containing protein	NA	Adineta steineri	GO:0005829;GO:0005524;GO:0003677;GO:0016787	C:cytosol;F:ATP binding;F:DNA binding;F:hydrolase activity	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2MDR9	A0A1D2MDR9	A0A1D2MDR9_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0008270	F:zinc ion binding	IEA:UniProtKB-KW	Success
A0A1D2ME74	A0A1D2ME74	A0A1D2ME74_ORCCI	Protein PRY1	NA	Orchesella cincta	GO:0005576;GO:0016020;GO:0098609	C:extracellular region;C:membrane;P:cell-cell adhesion	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2ME74	A0A1D2ME74	A0A1D2ME74_ORCCI	Protein PRY1	NA	Orchesella cincta	GO:0005576;GO:0016020;GO:0098609	C:extracellular region;C:membrane;P:cell-cell adhesion	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2ME74	A0A1D2ME74	A0A1D2ME74_ORCCI	Protein PRY1	NA	Orchesella cincta	GO:0005576;GO:0016020;GO:0098609	C:extracellular region;C:membrane;P:cell-cell adhesion	IEA:InterPro;IEA:InterPro;IEA:InterPro	Success
A0A1D2M3D9	A0A1D2M3D9	A0A1D2M3D9_ORCCI	FLYWCH-type zinc finger-containing protein 1	NA	Orchesella cincta	GO:0008270	F:zinc ion binding	IEA:UniProtKB-KW	Success
A0A3B3I5I8	A0A3B3I5I8	A0A3B3I5I8_ORYLA	Reverse transcriptase domain-containing protein	NA	Oryzias latipes	GO:0003824	F:catalytic activity	IEA:InterPro	Success
A0A1D2M6H5	A0A1D2M6H5	A0A1D2M6H5_ORCCI	RNA-directed DNA polymerase	NA	Orchesella cincta	GO:0042575;GO:0016020;GO:0003824;GO:0003676;GO:0071897;GO:0015074	C:DNA polymerase complex;C:membrane;F:catalytic activity;F:nucleic acid binding;P:DNA biosynthetic process;P:DNA integration	IEA:UniProtKB-ARBA;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A226EBG0	A0A226EBG0	A0A226EBG0_FOLCA	Uncharacterized protein	NA	Folsomia candida	NA	NA	NA	Success
A0A1D2NKR3	A0A1D2NKR3	A0A1D2NKR3_ORCCI	Odorant receptor	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-KW	Success
A0A8K1CTZ4	A0A8K1CTZ4	A0A8K1CTZ4_PYTOL	subtilisin	NA	Pythium oligandrum	GO:0004252;GO:0006508	F:serine-type endopeptidase activity;P:proteolysis	IEA:UniProtKB-UniRule;IEA:UniProtKB-KW	Success
A0A8J2L3Y5	A0A8J2L3Y5	A0A8J2L3Y5_9HEXA	Receptor protein-tyrosine kinase	NA	Allacma fusca	GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169	C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway	IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MUQ1	A0A1D2MUQ1	A0A1D2MUQ1_ORCCI	Vascular endothelial growth factor receptor 3	NA	Orchesella cincta	GO:0005576;GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169;GO:0050832;GO:0031640	C:extracellular region;C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:defense response to fungus;P:killing of cells of another organism	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A226D417	A0A226D417	A0A226D417_FOLCA	Pro-Pol polyprotein	NA	Folsomia candida	GO:0042575;GO:0003676;GO:0008270;GO:0071897;GO:0015074	C:DNA polymerase complex;F:nucleic acid binding;F:zinc ion binding;P:DNA biosynthetic process;P:DNA integration	IEA:UniProtKB-ARBA;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A1D2MDA5	A0A1D2MDA5	A0A1D2MDA5_ORCCI	Putative zinc finger protein	NA	Orchesella cincta	GO:0005634;GO:0001228;GO:0000978;GO:0008270	C:nucleus;F:DNA-binding transcription activator activity, RNA polymerase II-specific;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;F:zinc ion binding	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW	Success
A0A226DMV3	A0A226DMV3	A0A226DMV3_FOLCA	Uncharacterized protein	NA	Folsomia candida	NA	NA	NA	Success
A0A1D2MI14	A0A1D2MI14	A0A1D2MI14_ORCCI	Ring canal kelch protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MUQ1	A0A1D2MUQ1	A0A1D2MUQ1_ORCCI	Vascular endothelial growth factor receptor 3	NA	Orchesella cincta	GO:0005576;GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169;GO:0050832;GO:0031640	C:extracellular region;C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:defense response to fungus;P:killing of cells of another organism	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A8J2IYQ9	A0A8J2IYQ9	A0A8J2IYQ9_9HEXA	EGF-like domain-containing protein	NA	Allacma fusca	GO:0016324;GO:0043235;GO:0005509;GO:0042562;GO:0006898	C:apical plasma membrane;C:receptor complex;F:calcium ion binding;F:hormone binding;P:receptor-mediated endocytosis	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A8J2IYQ9	A0A8J2IYQ9	A0A8J2IYQ9_9HEXA	EGF-like domain-containing protein	NA	Allacma fusca	GO:0016324;GO:0043235;GO:0005509;GO:0042562;GO:0006898	C:apical plasma membrane;C:receptor complex;F:calcium ion binding;F:hormone binding;P:receptor-mediated endocytosis	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A226EXE2	A0A226EXE2	A0A226EXE2_FOLCA	Speckle-type POZ protein	NA	Folsomia candida	NA	NA	NA	Success
A0A164K5K2	A0A164K5K2	A0A164K5K2_9CRUS	Vitellogenin receptor	NA	Daphnia magna	GO:0005886;GO:0043235;GO:0005509;GO:0006897	C:plasma membrane;C:receptor complex;F:calcium ion binding;P:endocytosis	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:UniProtKB-KW	Success
A0A226EXE2	A0A226EXE2	A0A226EXE2_FOLCA	Speckle-type POZ protein	NA	Folsomia candida	NA	NA	NA	Success
A0A226F1S5	A0A226F1S5	A0A226F1S5_FOLCA	Speckle-type POZ protein-like	NA	Folsomia candida	NA	NA	NA	Success
A0A1D2MUQ1	A0A1D2MUQ1	A0A1D2MUQ1_ORCCI	Vascular endothelial growth factor receptor 3	NA	Orchesella cincta	GO:0005576;GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169;GO:0050832;GO:0031640	C:extracellular region;C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:defense response to fungus;P:killing of cells of another organism	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2MUQ1	A0A1D2MUQ1	A0A1D2MUQ1_ORCCI	Vascular endothelial growth factor receptor 3	NA	Orchesella cincta	GO:0005576;GO:0005886;GO:0043235;GO:0005524;GO:0004714;GO:0007169;GO:0050832;GO:0031640	C:extracellular region;C:plasma membrane;C:receptor complex;F:ATP binding;F:transmembrane receptor protein tyrosine kinase activity;P:cell surface receptor protein tyrosine kinase signaling pathway;P:defense response to fungus;P:killing of cells of another organism	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
