region_id	chromosome	start	end	length	num_populations_total	North-West_Middle Jylland	North-West_North Jylland (Middle)	North-West_North Jylland (Top)	North-West_North Jylland (West)	Outgroup_1	South-East_East Jylland	South-East_North Sjaeland	South-East_Outgroup_2(East Jylland)	South-East_South Costal Denmark
EntNic_HiC_scaffold_1_R30	HiC_scaffold_1	14159716	14170096	10381	11	0.816	0.906	0.089	0.0	0.0	0.119	0.0	0.0	0.164
EntNic_HiC_scaffold_1_R31	HiC_scaffold_1	14288533	14294173	5641	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R33	HiC_scaffold_1	15959246	15970017	10772	12	0.0	0.0	1.0	0.0	0.672	0.031	0.467	0.519	0.558
EntNic_HiC_scaffold_1_R34	HiC_scaffold_1	16052237	16062299	10063	15	0.0	0.0	1.0	0.0	1.0	0.323	1.0	0.753	1.0
EntNic_HiC_scaffold_1_R36	HiC_scaffold_1	17421294	17426785	5492	2	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.601
EntNic_HiC_scaffold_1_R41	HiC_scaffold_1	17923505	17934450	10946	4	0.0	0.0	0.0	0.0	0.0	0.0	0.883	0.0	0.0
EntNic_HiC_scaffold_1_R43	HiC_scaffold_1	18048111	18117344	69234	5	0.0	0.0	0.0	0.0	0.0	0.006	1.0	0.0	0.82
EntNic_HiC_scaffold_1_R45	HiC_scaffold_1	18128518	18135275	6758	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R46	HiC_scaffold_1	18139431	18149046	9616	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R48	HiC_scaffold_1	18178700	18247308	68609	12	0.0	0.271	0.172	0.0	0.011	0.075	0.365	0.0	1.0
EntNic_HiC_scaffold_1_R50	HiC_scaffold_1	18256048	18269359	13312	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.626
EntNic_HiC_scaffold_1_R51	HiC_scaffold_1	18275835	18284434	8600	3	0.0	0.062	0.0	0.247	0.0	0.0	0.0	0.0	0.883
EntNic_HiC_scaffold_1_R52	HiC_scaffold_1	18401834	18410988	9155	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
EntNic_HiC_scaffold_1_R56	HiC_scaffold_1	18543372	18550273	6902	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R57	HiC_scaffold_1	18551638	18594654	43017	22	0.359	0.528	0.528	1.0	0.145	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R58	HiC_scaffold_1	18607681	18635322	27642	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R60	HiC_scaffold_1	18711660	18720838	9179	2	0.722	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R61	HiC_scaffold_1	18727853	18779526	51674	24	0.495	0.368	0.224	0.193	0.326	0.0	0.0	0.0	0.326
EntNic_HiC_scaffold_1_R63	HiC_scaffold_1	19552550	19620379	67830	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R65	HiC_scaffold_1	19747057	19790975	43919	5	0.0	0.002	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R67	HiC_scaffold_1	19891974	19903648	11675	2	0.0	0.392	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R68	HiC_scaffold_1	19960025	19968087	8063	2	0.0	1.0	0.0	0.447	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R69	HiC_scaffold_1	19975866	19995332	19467	5	0.0	0.419	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R70	HiC_scaffold_1	20700460	20713291	12832	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R77	HiC_scaffold_1	21327476	21345142	17667	6	0.0	0.0	0.0	0.0	0.0	0.257	0.552	0.0	1.0
EntNic_HiC_scaffold_1_R79	HiC_scaffold_1	22285380	22317553	32174	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R81	HiC_scaffold_1	22387223	22393537	6315	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R82	HiC_scaffold_1	22411497	22421455	9959	3	0.0	0.921	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R85	HiC_scaffold_1	23049731	23063742	14012	4	0.0	0.524	0.598	0.557	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R88	HiC_scaffold_1	23376991	23385749	8759	5	0.0	0.0	0.0	0.0	0.0	1.0	0.298	0.348	0.0
EntNic_HiC_scaffold_1_R89	HiC_scaffold_1	23502089	23511904	9816	7	0.545	0.369	0.0	0.0	0.0	0.0	0.824	0.0	0.0
EntNic_HiC_scaffold_1_R90	HiC_scaffold_1	23705890	23717596	11707	4	0.0	0.0	0.0	0.0	0.0	0.758	0.0	1.0	1.0
EntNic_HiC_scaffold_1_R92	HiC_scaffold_1	23802012	23851550	49539	13	0.0	0.037	0.181	0.0	0.286	0.31	0.0	0.444	0.895
EntNic_HiC_scaffold_1_R93	HiC_scaffold_1	23879954	23895721	15768	8	0.12	0.977	0.0	0.148	0.0	0.18	0.703	0.966	0.609
EntNic_HiC_scaffold_1_R94	HiC_scaffold_1	24037357	24053873	16517	4	0.0	0.0	0.333	0.076	0.0	0.845	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R96	HiC_scaffold_1	24114439	24145042	30604	23	0.0	0.34	0.351	0.335	0.072	0.49	0.88	0.033	0.999
EntNic_HiC_scaffold_1_R97	HiC_scaffold_1	24940167	25025858	85692	35	0.226	0.425	0.243	0.14	0.145	0.498	0.337	0.161	0.576
EntNic_HiC_scaffold_1_R101	HiC_scaffold_1	26172892	26192180	19289	8	0.0	0.0	0.0	0.0	0.0	0.539	0.54	1.0	0.505
EntNic_HiC_scaffold_1_R102	HiC_scaffold_1	26252561	26266757	14197	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R107	HiC_scaffold_1	26545051	26550123	5073	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R109	HiC_scaffold_1	26595569	26614325	18757	5	0.0	0.907	0.069	0.098	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R110	HiC_scaffold_1	26639304	26690483	51180	12	0.811	1.0	0.024	0.901	0.0	0.0	0.0	0.9	0.0
EntNic_HiC_scaffold_1_R112	HiC_scaffold_1	27428119	27440880	12762	3	0.04	0.0	0.0	0.0	0.0	0.0	0.982	0.0	0.345
EntNic_HiC_scaffold_1_R113	HiC_scaffold_1	27450190	27604091	153902	37	0.303	0.595	0.502	0.256	0.163	0.383	0.329	0.231	0.338
EntNic_HiC_scaffold_1_R115	HiC_scaffold_1	27651320	27662088	10769	14	0.629	0.637	0.638	0.724	0.0	0.0	0.746	0.0	0.0
EntNic_HiC_scaffold_1_R117	HiC_scaffold_1	27859211	27871800	12590	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R121	HiC_scaffold_1	28196419	28201593	5175	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R122	HiC_scaffold_1	28202366	28615106	412741	23	0.032	0.785	0.03	0.044	0.0	0.009	0.009	0.0	0.137
EntNic_HiC_scaffold_1_R123	HiC_scaffold_1	28778410	28799849	21440	13	0.0	0.753	0.061	0.035	0.378	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R128	HiC_scaffold_1	28956554	28980086	23533	18	0.612	0.367	0.0	0.138	0.713	0.867	0.0	0.89	0.403
EntNic_HiC_scaffold_1_R133	HiC_scaffold_1	29214806	29291322	76517	23	0.165	0.995	0.915	0.156	0.024	0.156	0.0	0.084	0.036
EntNic_HiC_scaffold_1_R135	HiC_scaffold_1	29311994	29319359	7366	3	0.871	0.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R140	HiC_scaffold_1	29520929	29528028	7100	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R149	HiC_scaffold_1	30370178	30375506	5329	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R150	HiC_scaffold_1	30777770	30801487	23718	10	0.0	0.647	0.581	0.0	0.647	0.422	0.0	0.0	0.647
EntNic_HiC_scaffold_1_R151	HiC_scaffold_1	31157524	31191260	33737	13	0.323	0.431	0.984	0.496	0.0	0.0	0.034	0.0	0.043
EntNic_HiC_scaffold_1_R157	HiC_scaffold_1	31453786	31518750	64965	15	0.0	0.007	0.188	0.566	0.403	0.0	0.402	0.066	0.434
EntNic_HiC_scaffold_1_R159	HiC_scaffold_1	31610224	31629982	19759	13	0.098	0.0	0.0	0.0	0.126	0.641	0.957	0.0	0.669
EntNic_HiC_scaffold_1_R161	HiC_scaffold_1	31738401	31753231	14831	10	0.055	0.858	0.0	0.641	0.0	0.237	0.0	0.0	0.095
EntNic_HiC_scaffold_1_R164	HiC_scaffold_1	31883477	31901667	18191	3	0.0	0.0	0.0	0.0	1.0	0.0	0.053	0.0	0.276
EntNic_HiC_scaffold_1_R167	HiC_scaffold_1	32190292	32196553	6262	3	0.0	0.0	0.0	0.593	0.548	0.0	0.95	0.0	0.0
EntNic_HiC_scaffold_1_R168	HiC_scaffold_1	32231592	32268510	36919	5	0.0	0.731	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R169	HiC_scaffold_1	32276869	32283923	7055	3	0.0	0.0	0.0	0.461	0.0	0.0	0.0	0.253	0.983
EntNic_HiC_scaffold_1_R170	HiC_scaffold_1	32295422	32306760	11339	15	0.216	0.0	0.0	0.827	0.0	0.573	0.418	0.0	0.441
EntNic_HiC_scaffold_1_R173	HiC_scaffold_1	32319529	32348020	28492	4	0.0	0.0	0.896	0.116	0.112	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R174	HiC_scaffold_1	32364767	32375179	10413	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R176	HiC_scaffold_1	32459181	32495445	36265	10	0.0	0.0	0.0	0.0	0.0	0.017	0.559	0.154	0.705
EntNic_HiC_scaffold_1_R177	HiC_scaffold_1	32506140	32513241	7102	2	0.0	0.0	0.049	0.0	0.0	0.0	0.0	1.0	0.0
EntNic_HiC_scaffold_1_R179	HiC_scaffold_1	32618185	32670137	51953	35	0.84	0.818	0.365	0.84	0.958	0.55	0.777	0.228	0.385
EntNic_HiC_scaffold_1_R180	HiC_scaffold_1	32782204	32799127	16924	4	0.0	0.0	1.0	0.097	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R181	HiC_scaffold_1	32866278	32895315	29038	5	0.0	0.0	0.227	1.0	0.0	0.065	0.0	0.0	0.034
EntNic_HiC_scaffold_1_R185	HiC_scaffold_1	32916197	32927988	11792	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.075
EntNic_HiC_scaffold_1_R186	HiC_scaffold_1	32931524	32956476	24953	4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.497
EntNic_HiC_scaffold_1_R190	HiC_scaffold_1	33061368	33066377	5010	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.43
EntNic_HiC_scaffold_1_R192	HiC_scaffold_1	33087614	33118817	31204	5	0.0	0.0	0.0	0.0	0.0	0.239	0.272	0.0	0.766
EntNic_HiC_scaffold_1_R196	HiC_scaffold_1	33142188	33147958	5771	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R199	HiC_scaffold_1	33304771	33310068	5298	5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.984	1.0
EntNic_HiC_scaffold_1_R202	HiC_scaffold_1	33373578	33426070	52493	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R203	HiC_scaffold_1	33436466	33461470	25005	5	0.716	0.623	0.0	0.0	0.359	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R205	HiC_scaffold_1	33500356	33536990	36635	5	0.0	0.172	0.028	0.031	0.95	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R207	HiC_scaffold_1	33581283	33587651	6369	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R209	HiC_scaffold_1	33619370	33666668	47299	10	0.404	0.792	0.0	0.089	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R210	HiC_scaffold_1	33673692	33710098	36407	21	1.0	1.0	0.0	0.467	0.483	0.0	0.314	0.0	0.0
EntNic_HiC_scaffold_1_R211	HiC_scaffold_1	33725037	33758150	33114	19	0.967	1.0	0.0	0.957	0.003	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R213	HiC_scaffold_1	33960190	33968651	8462	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EntNic_HiC_scaffold_1_R215	HiC_scaffold_1	34023578	34031533	7956	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EntNic_HiC_scaffold_1_R216	HiC_scaffold_1	34045284	34053552	8269	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R219	HiC_scaffold_1	34310221	34398227	88007	7	0.0	0.0	0.0	0.0	0.0	0.0	0.208	0.999	0.036
EntNic_HiC_scaffold_1_R221	HiC_scaffold_1	34418387	34424929	6543	7	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.63	0.869
EntNic_HiC_scaffold_1_R225	HiC_scaffold_1	34518923	34537772	18850	9	0.017	1.0	0.397	0.89	0.763	0.102	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R226	HiC_scaffold_1	34548646	34564636	15991	3	0.0	1.0	0.0	0.0	0.0	0.499	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R227	HiC_scaffold_1	34596900	34620725	23826	3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.063
EntNic_HiC_scaffold_1_R228	HiC_scaffold_1	34637744	34692716	54973	3	0.0	0.026	0.0	0.0	0.0	1.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R229	HiC_scaffold_1	34959450	34989713	30264	5	0.0	0.0	0.0	0.0	0.935	0.0	0.211	0.0	0.772
EntNic_HiC_scaffold_1_R232	HiC_scaffold_1	35248133	35324081	75949	16	0.063	0.292	0.0	0.661	0.387	0.0	0.095	0.212	0.062
EntNic_HiC_scaffold_1_R233	HiC_scaffold_1	35349290	35392500	43211	10	0.0	0.747	0.17	0.593	0.0	0.0	0.376	0.0	0.0
EntNic_HiC_scaffold_1_R234	HiC_scaffold_1	35397677	35490657	92981	13	0.0	0.244	0.0	0.547	0.007	0.007	0.0	0.0	0.24
EntNic_HiC_scaffold_1_R235	HiC_scaffold_1	35551272	35757359	206088	17	0.316	0.637	0.0	0.0	0.0	0.316	0.316	0.0	0.772
EntNic_HiC_scaffold_1_R236	HiC_scaffold_1	35775604	36300117	524514	33	0.234	0.384	0.203	0.111	0.018	0.384	0.177	0.108	0.292
EntNic_HiC_scaffold_1_R240	HiC_scaffold_1	36466994	36480597	13604	4	0.0	0.0	0.106	0.578	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R242	HiC_scaffold_1	36526194	36576209	50016	18	0.183	0.542	0.0	0.087	0.0	0.532	0.152	0.08	0.013
EntNic_HiC_scaffold_1_R248	HiC_scaffold_1	37408273	37430477	22205	13	0.575	1.0	0.955	0.862	0.019	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R249	HiC_scaffold_1	37436872	37483242	46371	14	0.0	0.558	0.473	0.127	0.0	0.186	0.101	0.175	0.0
EntNic_HiC_scaffold_1_R252	HiC_scaffold_1	37614082	37620445	6364	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R253	HiC_scaffold_1	37788375	37806883	18509	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EntNic_HiC_scaffold_1_R255	HiC_scaffold_1	37960822	37969009	8188	11	0.67	0.807	0.672	0.431	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R259	HiC_scaffold_1	38029431	38034987	5557	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R260	HiC_scaffold_1	38165999	38179265	13267	2	0.094	0.0	0.994	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R263	HiC_scaffold_1	38266383	38282047	15665	3	0.0	0.0	0.0	0.0	0.127	0.112	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R264	HiC_scaffold_1	38289445	38301746	12302	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R265	HiC_scaffold_1	38379898	38387059	7162	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R266	HiC_scaffold_1	38449345	38460842	11498	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R268	HiC_scaffold_1	38526044	38547466	21423	13	0.125	0.37	0.109	0.355	1.0	0.134	0.267	0.042	0.765
EntNic_HiC_scaffold_1_R270	HiC_scaffold_1	38571949	38582432	10484	3	0.0	0.0	0.148	0.0	0.947	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R273	HiC_scaffold_1	38605100	38651760	46661	3	0.0	0.092	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R275	HiC_scaffold_1	38660538	38770468	109931	35	0.161	0.527	0.271	0.521	0.524	0.147	0.245	0.076	0.571
EntNic_HiC_scaffold_1_R276	HiC_scaffold_1	38800242	38811663	11422	11	0.572	0.076	0.0	0.0	1.0	0.659	0.857	0.0	0.932
EntNic_HiC_scaffold_1_R280	HiC_scaffold_1	38883306	38888512	5207	2	0.0	0.0	0.0	0.0	0.0	0.17	0.0	1.0	0.0
EntNic_HiC_scaffold_1_R286	HiC_scaffold_1	39122304	39129117	6814	2	0.0	0.747	0.0	0.0	0.0	0.697	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R287	HiC_scaffold_1	39179934	39197528	17595	2	0.0	0.98	0.0	0.0	0.0	0.232	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R288	HiC_scaffold_1	39198232	39204949	6718	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R290	HiC_scaffold_1	39228270	39260226	31957	7	0.0	0.0	0.0	0.0	0.234	0.0	0.864	0.0	0.758
EntNic_HiC_scaffold_1_R295	HiC_scaffold_1	39314807	39447168	132362	20	0.136	0.995	0.131	0.118	0.924	0.118	0.0	0.102	0.136
EntNic_HiC_scaffold_1_R296	HiC_scaffold_1	39458158	39463368	5211	4	0.848	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.478
EntNic_HiC_scaffold_1_R297	HiC_scaffold_1	39463873	39488643	24771	4	0.0	0.0	0.0	0.0	0.0	0.0	0.514	0.0	0.511
EntNic_HiC_scaffold_1_R300	HiC_scaffold_1	39555371	39588993	33623	8	0.0	1.0	0.779	0.0	0.022	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R303	HiC_scaffold_1	39688806	39709257	20452	12	0.037	0.974	0.102	0.746	0.0	0.0	0.0	0.0	0.136
EntNic_HiC_scaffold_1_R304	HiC_scaffold_1	39720562	39730562	10001	2	0.0	0.538	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R305	HiC_scaffold_1	39746574	39760047	13474	4	0.0	0.51	0.0	1.0	0.0	0.0	0.0	0.0	0.066
EntNic_HiC_scaffold_1_R309	HiC_scaffold_1	39945697	39951648	5952	4	0.0	0.696	0.695	0.52	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R311	HiC_scaffold_1	40022525	40031953	9429	3	0.676	0.344	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R320	HiC_scaffold_1	40310090	40325103	15014	5	0.825	0.791	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R322	HiC_scaffold_1	40527768	40535116	7349	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R327	HiC_scaffold_1	40775152	40785874	10723	2	0.057	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R331	HiC_scaffold_1	40886095	40920133	34039	3	0.0	0.0	0.0	0.0	0.263	0.0	0.0	0.0	0.854
EntNic_HiC_scaffold_1_R334	HiC_scaffold_1	41087810	41104252	16443	7	0.959	0.321	0.0	0.539	0.0	0.198	0.0	0.0	0.873
EntNic_HiC_scaffold_1_R335	HiC_scaffold_1	41200038	41229705	29668	5	0.0	0.37	0.0	0.0	0.913	0.665	0.37	0.0	0.0
EntNic_HiC_scaffold_1_R337	HiC_scaffold_1	41245767	41298836	53070	26	0.521	0.966	0.786	0.77	0.06	0.0	0.175	0.112	0.474
EntNic_HiC_scaffold_1_R338	HiC_scaffold_1	41313999	41322511	8513	3	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R340	HiC_scaffold_1	41512497	41523750	11254	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R346	HiC_scaffold_1	41982829	41991593	8765	4	0.0	0.26	0.085	0.0	0.0	0.187	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R348	HiC_scaffold_1	42210040	42217674	7635	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R349	HiC_scaffold_1	42233972	42245935	11964	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R350	HiC_scaffold_1	42346298	42356066	9769	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R351	HiC_scaffold_1	42451315	42500584	49270	2	0.0	0.0	0.366	0.0	0.791	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R354	HiC_scaffold_1	43043965	43051333	7369	2	0.0	0.994	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R358	HiC_scaffold_1	43270359	43275659	5301	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R359	HiC_scaffold_1	43289230	43309719	20490	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R361	HiC_scaffold_1	43333577	43347945	14369	4	0.0	0.05	0.0	0.901	0.0	0.311	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R362	HiC_scaffold_1	43362249	43371986	9738	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R363	HiC_scaffold_1	43377961	43385622	7662	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.901
EntNic_HiC_scaffold_1_R380	HiC_scaffold_1	44593136	44616008	22873	18	0.999	1.0	0.919	0.253	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R383	HiC_scaffold_1	46378201	46390971	12771	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R385	HiC_scaffold_1	48888755	48898422	9668	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R386	HiC_scaffold_1	49308497	49332249	23753	5	0.0	0.698	0.0	0.0	0.0	0.64	0.0	0.485	0.0
EntNic_HiC_scaffold_1_R387	HiC_scaffold_1	49350395	49357224	6830	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
