region_id,species,chromosome,start,end,region_length,population_id,num_populations,mapped_populations
EntNic_HiC_scaffold_1_R122,EntNic,HiC_scaffold_1,28202366,28615106,412741,"['EntNic_DoeJ-C27', 'EntNic_SBJ-C52', 'EntNic_ULJ-C60', 'EntNic_GEJ-C42', 'EntNic_GSJ-C274', 'EntNic_KLJ-C127', 'EntNic_NOJ-C37', 'EntNic_TOJ-C71', 'EntNic_GSJ-C274', 'EntNic_LVJ-C76', 'EntNic_ULJ-C60', 'EntNic_KLJ-C127', 'EntNic_DoeJ-C27', 'EntNic_GoeJ-C19', 'EntNic_SHJ-C48', 'EntNic_RYJ-C139', 'EntNic_SSJ-C259', 'EntNic_NOJ-C37', 'EntNic_SKJ-C16', 'EntNic_ORoe-C299', 'EntNic_RYJ-C139', 'EntNic_GUS-C41', 'EntNic_MMS-C295', 'EntNic_SBJ-C52', 'EntNic_KRS-C23', 'EntNic_RDJ-C344', 'EntNic_RYJ-C139', 'EntNic_ORoe-C299', 'EntNic_BJJ-C34', 'EntNic_TOJ-C71', 'EntNic_SKJ-C16', 'EntNic_UTJ-C22', 'EntNic_TOJ-C71', 'EntNic_MSJ-C2', 'EntNic_STF-C266', 'EntNic_ORoe-C299', 'EntNic_SSJ-C259', 'EntNic_GUS-C41', 'EntNic_ORoe-C299', 'EntNic_GEJ-C42', 'EntNic_GSJ-C274', 'EntNic_DoeJ-C27', 'EntNic_LVJ-C76', 'EntNic_NOJ-C37']",23,"['DoeJ-C27', 'SBJ-C52', 'ULJ-C60', 'GEJ-C42', 'GSJ-C274', 'KLJ-C127', 'NOJ-C37', 'TOJ-C71', 'GSJ-C274', 'LVJ-C76', 'ULJ-C60', 'KLJ-C127', 'DoeJ-C27', 'GoeJ-C19', 'SHJ-C48', 'RYJ-C139', 'SSJ-C259', 'NOJ-C37', 'SKJ-C16', 'ORoe-C299', 'RYJ-C139', 'GUS-C41', 'MMS-C295', 'SBJ-C52', 'KRS-C23', 'RDJ-C344', 'RYJ-C139', 'ORoe-C299', 'BJJ-C34', 'TOJ-C71', 'SKJ-C16', 'UTJ-C22', 'TOJ-C71', 'MSJ-C2', 'STF-C266', 'ORoe-C299', 'SSJ-C259', 'GUS-C41', 'ORoe-C299', 'GEJ-C42', 'GSJ-C274', 'DoeJ-C27', 'LVJ-C76', 'NOJ-C37']"
EntNic_HiC_scaffold_1_R123,EntNic,HiC_scaffold_1,28778410,28799849,21440,"['EntNic_LVJ-C76', 'EntNic_GEJ-C42', 'EntNic_GSJ-C274', 'EntNic_BJJ-C34', 'EntNic_BIJ-C30', 'EntNic_SBJ-C52', 'EntNic_DoeJ-C27', 'EntNic_VAJ-C24', 'EntNic_BRS-C268', 'EntNic_KLJ-C127', 'EntNic_FUR-C230', 'EntNic_SKJ-C16', 'EntNic_aaRJ-C225']",13,"['LVJ-C76', 'GEJ-C42', 'GSJ-C274', 'BJJ-C34', 'BIJ-C30', 'SBJ-C52', 'DoeJ-C27', 'VAJ-C24', 'BRS-C268', 'KLJ-C127', 'FUR-C230', 'SKJ-C16', 'aaRJ-C225']"
EntNic_HiC_scaffold_1_R128,EntNic,HiC_scaffold_1,28956554,28980086,23533,"['EntNic_JHJ-C220', 'EntNic_MSJ-C2', 'EntNic_UTJ-C22', 'EntNic_aeRoe-C36', 'EntNic_HHJ-C162', 'EntNic_FUR-C230', 'EntNic_BRS-C268', 'EntNic_RYJ-C139', 'EntNic_DoeJ-C27', 'EntNic_GoeJ-C19', 'EntNic_DSJ-C190', 'EntNic_KOS-C293', 'EntNic_JoeJ-C252', 'EntNic_FHJ-C38', 'EntNic_SSJ-C259', 'EntNic_aeRoe-C36', 'EntNic_KRS-C23', 'EntNic_GSJ-C274', 'EntNic_KLJ-C127']",18,"['JHJ-C220', 'MSJ-C2', 'UTJ-C22', 'aeRoe-C36', 'HHJ-C162', 'FUR-C230', 'BRS-C268', 'RYJ-C139', 'DoeJ-C27', 'GoeJ-C19', 'DSJ-C190', 'KOS-C293', 'JoeJ-C252', 'FHJ-C38', 'SSJ-C259', 'aeRoe-C36', 'KRS-C23', 'GSJ-C274', 'KLJ-C127']"
EntNic_HiC_scaffold_1_R133,EntNic,HiC_scaffold_1,29214806,29291322,76517,"['EntNic_BRS-C268', 'EntNic_KOS-C293', 'EntNic_ULJ-C60', 'EntNic_aaRJ-C225', 'EntNic_SKJ-C16', 'EntNic_RDJ-C344', 'EntNic_KLJ-C127', 'EntNic_JHJ-C220', 'EntNic_SSJ-C259', 'EntNic_GoeJ-C19', 'EntNic_TOJ-C71', 'EntNic_MSJ-C2', 'EntNic_RYJ-C139', 'EntNic_LEJ-C64', 'EntNic_BIJ-C30', 'EntNic_BJJ-C34', 'EntNic_GSJ-C274', 'EntNic_NOJ-C37', 'EntNic_GEJ-C42', 'EntNic_JoeJ-C252', 'EntNic_SHJ-C48', 'EntNic_BRS-C268', 'EntNic_DoeJ-C27', 'EntNic_SKJ-C216', 'EntNic_RDJ-C344', 'EntNic_SKJ-C216', 'EntNic_GEJ-C42', 'EntNic_SKJ-C216', 'EntNic_JHJ-C220', 'EntNic_FUR-C230', 'EntNic_DoeJ-C27']",24,"['BRS-C268', 'KOS-C293', 'ULJ-C60', 'aaRJ-C225', 'SKJ-C16', 'RDJ-C344', 'KLJ-C127', 'JHJ-C220', 'SSJ-C259', 'GoeJ-C19', 'TOJ-C71', 'MSJ-C2', 'RYJ-C139', 'LEJ-C64', 'BIJ-C30', 'BJJ-C34', 'GSJ-C274', 'NOJ-C37', 'GEJ-C42', 'JoeJ-C252', 'SHJ-C48', 'BRS-C268', 'DoeJ-C27', 'SKJ-C216', 'RDJ-C344', 'SKJ-C216', 'GEJ-C42', 'SKJ-C216', 'JHJ-C220', 'FUR-C230', 'DoeJ-C27']"
EntNic_HiC_scaffold_1_R150,EntNic,HiC_scaffold_1,30777770,30801487,23718,"['EntNic_STF-C266', 'EntNic_VAJ-C24', 'EntNic_GEJ-C42', 'EntNic_UTJ-C22', 'EntNic_JEJ-C119', 'EntNic_GSJ-C274', 'EntNic_MSJ-C2', 'EntNic_NOJ-C37', 'EntNic_SUJ-C130', 'EntNic_ULJ-C60', 'EntNic_GSJ-C274', 'EntNic_NOJ-C37']",10,"['STF-C266', 'VAJ-C24', 'GEJ-C42', 'UTJ-C22', 'JEJ-C119', 'GSJ-C274', 'MSJ-C2', 'NOJ-C37', 'SUJ-C130', 'ULJ-C60', 'GSJ-C274', 'NOJ-C37']"
EntNic_HiC_scaffold_1_R151,EntNic,HiC_scaffold_1,31157524,31191260,33737,"['EntNic_SKJ-C216', 'EntNic_aaRJ-C225', 'EntNic_SKJ-C16', 'EntNic_RDJ-C344', 'EntNic_BJJ-C34', 'EntNic_GEJ-C42', 'EntNic_SSJ-C259', 'EntNic_STF-C266', 'EntNic_KLJ-C127', 'EntNic_BIJ-C30', 'EntNic_SBJ-C52', 'EntNic_LEJ-C64', 'EntNic_JoeJ-C252', 'EntNic_ORoe-C299']",14,"['SKJ-C216', 'aaRJ-C225', 'SKJ-C16', 'RDJ-C344', 'BJJ-C34', 'GEJ-C42', 'SSJ-C259', 'STF-C266', 'KLJ-C127', 'BIJ-C30', 'SBJ-C52', 'LEJ-C64', 'JoeJ-C252', 'ORoe-C299']"
EntNic_HiC_scaffold_1_R157,EntNic,HiC_scaffold_1,31453786,31518750,64965,"['EntNic_BJJ-C34', 'EntNic_LEJ-C64', 'EntNic_TOJ-C71', 'EntNic_BRS-C268', 'EntNic_HAS-C59', 'EntNic_KRS-C23', 'EntNic_FUR-C230', 'EntNic_JHJ-C220', 'EntNic_RDJ-C344', 'EntNic_JHJ-C220', 'EntNic_SKJ-C16', 'EntNic_SKS-C55', 'EntNic_BIJ-C30', 'EntNic_SUJ-C130', 'EntNic_FUR-C230', 'EntNic_KLJ-C127', 'EntNic_FUR-C230', 'EntNic_LEJ-C64', 'EntNic_SKJ-C16', 'EntNic_JHJ-C220', 'EntNic_SKJ-C216', 'EntNic_KOS-C293', 'EntNic_BIJ-C30', 'EntNic_RDJ-C344', 'EntNic_KRS-C23', 'EntNic_SKS-C55']",16,"['BJJ-C34', 'LEJ-C64', 'TOJ-C71', 'BRS-C268', 'HAS-C59', 'KRS-C23', 'FUR-C230', 'JHJ-C220', 'RDJ-C344', 'JHJ-C220', 'SKJ-C16', 'SKS-C55', 'BIJ-C30', 'SUJ-C130', 'FUR-C230', 'KLJ-C127', 'FUR-C230', 'LEJ-C64', 'SKJ-C16', 'JHJ-C220', 'SKJ-C216', 'KOS-C293', 'BIJ-C30', 'RDJ-C344', 'KRS-C23', 'SKS-C55']"
EntNic_HiC_scaffold_1_R159,EntNic,HiC_scaffold_1,31610224,31629982,19759,"['EntNic_SKS-C55', 'EntNic_HAS-C59', 'EntNic_KOS-C293', 'EntNic_KRS-C23', 'EntNic_BRS-C268', 'EntNic_aeRoe-C36', 'EntNic_STF-C266', 'EntNic_HHJ-C162', 'EntNic_DSJ-C190', 'EntNic_JEJ-C119', 'EntNic_MSJ-C2', 'EntNic_UTJ-C22', 'EntNic_SKS-C55', 'EntNic_GoeJ-C19']",13,"['SKS-C55', 'HAS-C59', 'KOS-C293', 'KRS-C23', 'BRS-C268', 'aeRoe-C36', 'STF-C266', 'HHJ-C162', 'DSJ-C190', 'JEJ-C119', 'MSJ-C2', 'UTJ-C22', 'SKS-C55', 'GoeJ-C19']"
EntNic_HiC_scaffold_1_R16,EntNic,HiC_scaffold_1,3441529,3457221,15693,['EntNic_ORoe-C299'],1,['ORoe-C299']
EntNic_HiC_scaffold_1_R161,EntNic,HiC_scaffold_1,31738401,31753231,14831,"['EntNic_DoeJ-C27', 'EntNic_GSJ-C274', 'EntNic_LEJ-C64', 'EntNic_SHJ-C48', 'EntNic_GSJ-C274', 'EntNic_ULJ-C60', 'EntNic_FUR-C230', 'EntNic_MSJ-C2', 'EntNic_HHJ-C162', 'EntNic_STF-C266', 'EntNic_aeRoe-C36']",10,"['DoeJ-C27', 'GSJ-C274', 'LEJ-C64', 'SHJ-C48', 'GSJ-C274', 'ULJ-C60', 'FUR-C230', 'MSJ-C2', 'HHJ-C162', 'STF-C266', 'aeRoe-C36']"
EntNic_HiC_scaffold_1_R164,EntNic,HiC_scaffold_1,31883477,31901667,18191,"['EntNic_BRS-C268', 'EntNic_FHJ-C38', 'EntNic_GUS-C41']",3,"['BRS-C268', 'FHJ-C38', 'GUS-C41']"
EntNic_HiC_scaffold_1_R168,EntNic,HiC_scaffold_1,32231592,32268510,36919,"['EntNic_SKS-C55', 'EntNic_GEJ-C42', 'EntNic_HAS-C59', 'EntNic_ORoe-C299', 'EntNic_HAS-C59', 'EntNic_SBJ-C52']",5,"['SKS-C55', 'GEJ-C42', 'HAS-C59', 'ORoe-C299', 'HAS-C59', 'SBJ-C52']"
EntNic_HiC_scaffold_1_R170,EntNic,HiC_scaffold_1,32295422,32306760,11339,"['EntNic_DSJ-C190', 'EntNic_MSJ-C2', 'EntNic_SKS-C55', 'EntNic_MMS-C295', 'EntNic_HHJ-C162', 'EntNic_KOS-C293', 'EntNic_TOJ-C71', 'EntNic_GUS-C41', 'EntNic_KRS-C23', 'EntNic_UTJ-C22', 'EntNic_STF-C266', 'EntNic_aeRoe-C36', 'EntNic_RYJ-C139', 'EntNic_SSJ-C259', 'EntNic_SHJ-C48']",15,"['DSJ-C190', 'MSJ-C2', 'SKS-C55', 'MMS-C295', 'HHJ-C162', 'KOS-C293', 'TOJ-C71', 'GUS-C41', 'KRS-C23', 'UTJ-C22', 'STF-C266', 'aeRoe-C36', 'RYJ-C139', 'SSJ-C259', 'SHJ-C48']"
EntNic_HiC_scaffold_1_R173,EntNic,HiC_scaffold_1,32319529,32348020,28492,"['EntNic_SKJ-C216', 'EntNic_RDJ-C344', 'EntNic_BJJ-C34', 'EntNic_SKJ-C16', 'EntNic_JEJ-C119']",5,"['SKJ-C216', 'RDJ-C344', 'BJJ-C34', 'SKJ-C16', 'JEJ-C119']"
EntNic_HiC_scaffold_1_R174,EntNic,HiC_scaffold_1,32364767,32375179,10413,['EntNic_GEJ-C42'],1,['GEJ-C42']
EntNic_HiC_scaffold_1_R176,EntNic,HiC_scaffold_1,32459181,32495445,36265,"['EntNic_MMS-C295', 'EntNic_ORoe-C299', 'EntNic_aeRoe-C36', 'EntNic_GUS-C41', 'EntNic_HHJ-C162', 'EntNic_GUS-C41', 'EntNic_DSJ-C190', 'EntNic_ORoe-C299', 'EntNic_aeRoe-C36', 'EntNic_HHJ-C162', 'EntNic_FHJ-C38', 'EntNic_KRS-C23', 'EntNic_JHJ-C220', 'EntNic_LVJ-C76']",10,"['MMS-C295', 'ORoe-C299', 'aeRoe-C36', 'GUS-C41', 'HHJ-C162', 'GUS-C41', 'DSJ-C190', 'ORoe-C299', 'aeRoe-C36', 'HHJ-C162', 'FHJ-C38', 'KRS-C23', 'JHJ-C220', 'LVJ-C76']"
EntNic_HiC_scaffold_1_R179,EntNic,HiC_scaffold_1,32618185,32670137,51953,"['EntNic_ORoe-C299', 'EntNic_BRS-C268', 'EntNic_GUS-C41', 'EntNic_JEJ-C119', 'EntNic_LEJ-C64', 'EntNic_SKJ-C216', 'EntNic_SBJ-C52', 'EntNic_RDJ-C344', 'EntNic_LVJ-C76', 'EntNic_GEJ-C42', 'EntNic_GoeJ-C19', 'EntNic_ULJ-C60', 'EntNic_DoeJ-C27', 'EntNic_KLJ-C127', 'EntNic_SSJ-C259', 'EntNic_BJJ-C34', 'EntNic_JoeJ-C252', 'EntNic_FUR-C230', 'EntNic_VAJ-C24', 'EntNic_NOJ-C37', 'EntNic_BIJ-C30', 'EntNic_SHJ-C48', 'EntNic_SKJ-C16', 'EntNic_SKS-C55', 'EntNic_aaRJ-C225', 'EntNic_GSJ-C274', 'EntNic_ORoe-C299', 'EntNic_SUJ-C130', 'EntNic_TOJ-C71', 'EntNic_GUS-C41', 'EntNic_STF-C266', 'EntNic_HHJ-C162', 'EntNic_SKS-C55', 'EntNic_DSJ-C190', 'EntNic_MSJ-C2', 'EntNic_KRS-C23', 'EntNic_JHJ-C220', 'EntNic_SHJ-C48', 'EntNic_HAS-C59', 'EntNic_SKJ-C16', 'EntNic_GoeJ-C19', 'EntNic_KLJ-C127', 'EntNic_STF-C266', 'EntNic_NOJ-C37', 'EntNic_MMS-C295', 'EntNic_BJJ-C34', 'EntNic_LVJ-C76', 'EntNic_JHJ-C220']",36,"['ORoe-C299', 'BRS-C268', 'GUS-C41', 'JEJ-C119', 'LEJ-C64', 'SKJ-C216', 'SBJ-C52', 'RDJ-C344', 'LVJ-C76', 'GEJ-C42', 'GoeJ-C19', 'ULJ-C60', 'DoeJ-C27', 'KLJ-C127', 'SSJ-C259', 'BJJ-C34', 'JoeJ-C252', 'FUR-C230', 'VAJ-C24', 'NOJ-C37', 'BIJ-C30', 'SHJ-C48', 'SKJ-C16', 'SKS-C55', 'aaRJ-C225', 'GSJ-C274', 'ORoe-C299', 'SUJ-C130', 'TOJ-C71', 'GUS-C41', 'STF-C266', 'HHJ-C162', 'SKS-C55', 'DSJ-C190', 'MSJ-C2', 'KRS-C23', 'JHJ-C220', 'SHJ-C48', 'HAS-C59', 'SKJ-C16', 'GoeJ-C19', 'KLJ-C127', 'STF-C266', 'NOJ-C37', 'MMS-C295', 'BJJ-C34', 'LVJ-C76', 'JHJ-C220']"
EntNic_HiC_scaffold_1_R180,EntNic,HiC_scaffold_1,32782204,32799127,16924,"['EntNic_aaRJ-C225', 'EntNic_BJJ-C34', 'EntNic_RDJ-C344', 'EntNic_RDJ-C344', 'EntNic_BJJ-C34', 'EntNic_SUJ-C130']",4,"['aaRJ-C225', 'BJJ-C34', 'RDJ-C344', 'RDJ-C344', 'BJJ-C34', 'SUJ-C130']"
EntNic_HiC_scaffold_1_R181,EntNic,HiC_scaffold_1,32866278,32895315,29038,"['EntNic_TOJ-C71', 'EntNic_BIJ-C30', 'EntNic_aeRoe-C36', 'EntNic_MSJ-C2', 'EntNic_UTJ-C22']",5,"['TOJ-C71', 'BIJ-C30', 'aeRoe-C36', 'MSJ-C2', 'UTJ-C22']"
EntNic_HiC_scaffold_1_R185,EntNic,HiC_scaffold_1,32916197,32927988,11792,"['EntNic_BRS-C268', 'EntNic_aeRoe-C36']",2,"['BRS-C268', 'aeRoe-C36']"
EntNic_HiC_scaffold_1_R186,EntNic,HiC_scaffold_1,32931524,32956476,24953,"['EntNic_HAS-C59', 'EntNic_SKS-C55', 'EntNic_KRS-C23', 'EntNic_aeRoe-C36']",4,"['HAS-C59', 'SKS-C55', 'KRS-C23', 'aeRoe-C36']"
EntNic_HiC_scaffold_1_R192,EntNic,HiC_scaffold_1,33087614,33118817,31204,"['EntNic_MMS-C295', 'EntNic_GUS-C41', 'EntNic_GUS-C41', 'EntNic_STF-C266', 'EntNic_KRS-C23', 'EntNic_DSJ-C190']",5,"['MMS-C295', 'GUS-C41', 'GUS-C41', 'STF-C266', 'KRS-C23', 'DSJ-C190']"
